Gaylene,Sheng,GArt,Lille,2A,Gaylene.Sheng@ican-school.com
Julieta,Quinn,GArt,Remote,1A,Julieta.Quinn@ican-school.com
Eadie,Juan,GArt,Lille,1A,Eadie.Juan@ican-school.com
Sharai,Medrek,GArt,Lille,2A,Sharai.Medrek@ican-school.com
Maud,Diogenes,GArt,Paris,2A,Maud.Diogenes@ican-school.com
Viviene,Arathorn,GArt,Lyon,M1,Viviene.Arathorn@ican-school.com
Lanna,Croix,GArt,Lyon,M1,Lanna.Croix@ican-school.com
Annaliese,Swigart,GArt,Lille,2A,Annaliese.Swigart@ican-school.com
Marleah,Truc,GArt,Lyon,M1,Marleah.Truc@ican-school.com
Deirdre,Ellerey,GArt,Lille,M1,Deirdre.Ellerey@ican-school.com
Heida,Leonard,GArt,Lille,1A,Heida.Leonard@ican-school.com
Laurene,Billye,GArt,Remote,3A,Laurene.Billye@ican-school.com
Minda,Eachern,GArt,Lille,2A,Minda.Eachern@ican-school.com
Sophia,Burnside,GArt,Lyon,M1,Sophia.Burnside@ican-school.com
Delilah,Egbert,GArt,Paris,M2,Delilah.Egbert@ican-school.com
Genovera,Wu,GArt,Bordeaux,M2,Genovera.Wu@ican-school.com
Genevra,Linehan,GArt,Bordeaux,2A,Genevra.Linehan@ican-school.com
Therine,Sheng,GArt,Lyon,2A,Therine.Sheng@ican-school.com
Sibella,Blake,GArt,Lyon,M1,Sibella.Blake@ican-school.com
Joelly,Maurine,GArt,Bordeaux,3A,Joelly.Maurine@ican-school.com
Edith,Jacqui,GArt,Lyon,1A,Edith.Jacqui@ican-school.com
Mahalia,Joachim,GArt,Bordeaux,3A,Mahalia.Joachim@ican-school.com
Taffy,Trey,GArt,Remote,M2,Taffy.Trey@ican-school.com
Dorene,Hathaway,GArt,Remote,3A,Dorene.Hathaway@ican-school.com
Andeee,Sekofski,GArt,Bordeaux,2A,Andeee.Sekofski@ican-school.com
Gertrud,Sasnett,GArt,Paris,M2,Gertrud.Sasnett@ican-school.com
Aurore,Eugenia,GArt,Paris,M2,Aurore.Eugenia@ican-school.com
Cindelyn,Olnee,GArt,Bordeaux,2A,Cindelyn.Olnee@ican-school.com
Estell,Presber,GArt,Lyon,M2,Estell.Presber@ican-school.com
Aurelie,Fadiman,GArt,Remote,1A,Aurelie.Fadiman@ican-school.com
Joy,Eugenia,GArt,Paris,2A,Joy.Eugenia@ican-school.com
Harmonia,Desai,GArt,Paris,2A,Harmonia.Desai@ican-school.com
Roseline,Mozelle,GArt,Remote,M1,Roseline.Mozelle@ican-school.com
Annaliese,Loleta,GArt,Lyon,M1,Annaliese.Loleta@ican-school.com
Abbie,Killigrew,GArt,Paris,M1,Abbie.Killigrew@ican-school.com
Dione,Bari,GArt,Bordeaux,2A,Dione.Bari@ican-school.com
Fredericka,Tayib,GArt,Lyon,1A,Fredericka.Tayib@ican-school.com
Fawne,Bakerman,GArt,Bordeaux,3A,Fawne.Bakerman@ican-school.com
Kary,Couture,GArt,Bordeaux,1A,Kary.Couture@ican-school.com
Veda,Publia,GArt,Paris,2A,Veda.Publia@ican-school.com
Cassondra,Alejoa,GArt,Paris,M1,Cassondra.Alejoa@ican-school.com
Rosabelle,Nore,GArt,Bordeaux,M1,Rosabelle.Nore@ican-school.com
Cyb,Ranjiv,GArt,Bordeaux,2A,Cyb.Ranjiv@ican-school.com
Ronna,Oscar,GArt,Remote,3A,Ronna.Oscar@ican-school.com
Donetta,Skurnik,GArt,Lyon,M1,Donetta.Skurnik@ican-school.com
Damaris,Lutero,GArt,Lille,2A,Damaris.Lutero@ican-school.com
